9.0317 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.7, -0.7, -0.7]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001CFED76C1D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001CFED7BB5F8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.0321 	EXP 	window1: mouseVisible = True
9.0321 	EXP 	window1: recordFrameIntervals = False
9.1980 	EXP 	window1: recordFrameIntervals = True
9.3814 	EXP 	window1: recordFrameIntervals = False
9.6498 	EXP 	window1: mouseVisible = False
9.6546 	EXP 	UDP Sent: marker_ID=17, marker_value=71, marker_string=video_narrative_cmiyc_start, timestamp=1655323836059942144
9.7475 	EXP 	Created catchme_instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='catchme_instructions_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.9256 	EXP 	Created catchme_clip = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='video_clips/CMIYC_clip.mov', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='catchme_clip', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
12.4714 	EXP 	Created catchme_details_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='catchme_details_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.5586 	EXP 	catchme_clip: autoLog = True
12.5586 	EXP 	catchme_clip: movie = 'video_clips/CMIYC_clip.mov'
12.5586 	EXP 	catchme_clip: size = array([1920., 1080.])
12.5586 	EXP 	catchme_clip: ori = 0.0
12.5586 	EXP 	catchme_participant_response: autoLog = True
12.5586 	EXP 	catchme_instructions_text: autoDraw = True
20.3348 	EXP 	Sound  started
20.3375 	DATA 	Keypress: space
20.3647 	EXP 	catchme_instructions_text: autoDraw = False
20.3647 	EXP 	catchme_clip: autoDraw = True
320.4020 	EXP 	Set catchme_clip finished
320.4187 	EXP 	catchme_clip: autoDraw = False
320.4187 	EXP 	catchme_details_text: autoDraw = True
325.7399 	DATA 	Keypress: space
325.7687 	EXP 	catchme_details_text: autoDraw = False
325.7687 	EXP 	catchme_participant_response: autoDraw = True
326.5055 	DATA 	Keypress: lshift
326.6220 	DATA 	Keypress: t
326.8385 	DATA 	Keypress: h
326.9224 	DATA 	Keypress: e
327.0549 	DATA 	Keypress: space
327.1388 	DATA 	Keypress: s
327.2714 	DATA 	Keypress: c
327.4050 	DATA 	Keypress: e
327.5218 	DATA 	Keypress: n
327.6383 	DATA 	Keypress: e
327.7216 	DATA 	Keypress: space
327.9550 	DATA 	Keypress: o
328.1055 	DATA 	Keypress: p
328.2219 	DATA 	Keypress: e
328.3553 	DATA 	Keypress: n
328.5219 	DATA 	Keypress: d
328.8389 	DATA 	Keypress: backspace
328.9723 	DATA 	Keypress: s
329.0881 	DATA 	Keypress: space
329.1720 	DATA 	Keypress: w
329.2893 	DATA 	Keypress: i
329.3885 	DATA 	Keypress: t
329.4882 	DATA 	Keypress: h
329.6716 	DATA 	Keypress: space
329.7553 	DATA 	Keypress: a
329.8880 	DATA 	Keypress: space
330.0717 	DATA 	Keypress: g
330.1222 	DATA 	Keypress: a
330.2551 	DATA 	Keypress: m
330.3549 	DATA 	Keypress: e
330.4556 	DATA 	Keypress: space
330.5553 	DATA 	Keypress: s
330.6719 	DATA 	Keypress: h
330.7885 	DATA 	Keypress: o
330.8553 	DATA 	Keypress: w
330.9880 	DATA 	Keypress: space
331.0719 	DATA 	Keypress: w
331.2215 	DATA 	Keypress: h
331.3222 	DATA 	Keypress: e
331.5058 	DATA 	Keypress: r
331.6552 	DATA 	Keypress: e
331.7719 	DATA 	Keypress: space
331.8548 	DATA 	Keypress: c
331.9385 	DATA 	Keypress: o
332.0225 	DATA 	Keypress: n
332.2554 	DATA 	Keypress: t
332.3383 	DATA 	Keypress: e
332.4888 	DATA 	Keypress: s
