11.0261 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.7, -0.7, -0.7]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC17A7F2B0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FC17ABF710>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.0265 	EXP 	window1: mouseVisible = True
11.0265 	EXP 	window1: recordFrameIntervals = False
11.1924 	EXP 	window1: recordFrameIntervals = True
11.3759 	EXP 	window1: recordFrameIntervals = False
11.6399 	EXP 	window1: mouseVisible = False
11.6448 	EXP 	UDP Sent: marker_ID=5, marker_value=11, marker_string=audio_narrative_start, timestamp=1655488334122788864
11.7359 	EXP 	Created instructions1_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instructions1_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.0974 	EXP 	Sound pieman_clip set volume 1.000
12.1010 	EXP 	Created pieman_cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='pieman_cross', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
12.1121 	EXP 	Created pieman_details_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='pieman_details_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.2040 	EXP 	participant_response: autoLog = True
12.2040 	EXP 	instructions1_text: autoDraw = True
16.7257 	EXP 	Sound pieman_clip started
16.7177 	DATA 	Keypress: space
16.7425 	EXP 	instructions1_text: autoDraw = False
16.7425 	EXP 	pieman_cross: autoDraw = True
439.4328 	EXP 	Sound pieman_clip stopped
439.4491 	EXP 	pieman_cross: autoDraw = False
439.4491 	EXP 	pieman_details_text: autoDraw = True
443.4751 	DATA 	Keypress: space
443.4825 	EXP 	pieman_details_text: autoDraw = False
443.4825 	EXP 	participant_response: autoDraw = True
447.6528 	DATA 	Keypress: capslock
451.0187 	DATA 	Keypress: s
451.2362 	DATA 	Keypress: capslock
451.5193 	DATA 	Keypress: o
452.0689 	DATA 	Keypress: backspace
452.2693 	DATA 	Keypress: backspace
452.4689 	DATA 	Keypress: capslock
452.8031 	DATA 	Keypress: j
452.9520 	DATA 	Keypress: capslock
453.0859 	DATA 	Keypress: i
453.5854 	DATA 	Keypress: n
454.1688 	DATA 	Keypress: backspace
454.4860 	DATA 	Keypress: m
454.9356 	DATA 	Keypress: comma
455.2360 	DATA 	Keypress: space
455.8192 	DATA 	Keypress: i
456.0024 	DATA 	Keypress: s
456.1689 	DATA 	Keypress: space
456.4521 	DATA 	Keypress: a
456.6186 	DATA 	Keypress: space
456.8361 	DATA 	Keypress: s
457.1696 	DATA 	Keypress: t
457.2690 	DATA 	Keypress: u
457.6190 	DATA 	Keypress: d
457.9689 	DATA 	Keypress: e
458.1358 	DATA 	Keypress: n
458.3690 	DATA 	Keypress: t
458.8027 	DATA 	Keypress: space
458.9861 	DATA 	Keypress: a
459.2195 	DATA 	Keypress: t
459.6029 	DATA 	Keypress: space
459.9863 	DATA 	Keypress: capslock
460.2030 	DATA 	Keypress: f
460.4025 	DATA 	Keypress: capslock
