task_order,num_stim,match,corr_key,match_num,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,stim_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
TB-16571317872280922.csv,0,0,left,,0,0,0,0,0,0,0,0,22.305694900000162,22.805706700000883,None,0,22.305694900000162,None,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,9,0,left,,0,0,0,0,0,1,1,1,25.805768300000636,26.305766100000255,None,0,25.805768300000636,None,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,3,0,left,,0,0,0,0,0,2,2,2,29.305798800000048,29.805826300000263,left,1,29.305798800000048,None,0.8132645000005141,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,1,0,left,,0,0,0,0,0,3,3,3,32.80587270000069,33.30587120000018,left,1,32.80587270000069,None,0.7051210999998148,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,3,1,right,,0,0,0,0,0,4,4,4,36.305916200000866,36.805935900000804,right,1,36.305916200000866,None,0.9814022000000477,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,9,0,left,,0,0,0,0,0,5,5,5,39.80596350000087,40.3059387000003,left,1,39.80596350000087,None,0.6172410999997737,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,6,0,left,,0,0,0,0,0,6,6,6,43.306038500000795,43.80601220000062,left,1,43.306038500000795,None,0.6691034000004947,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,9,1,right,,0,0,0,0,0,7,7,7,46.80608210000082,47.306087600000865,right,1,46.80608210000082,None,0.6408594999993511,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,9,0,left,,0,0,0,0,0,8,8,8,50.306135100000574,50.806163400000514,left,1,50.306135100000574,None,0.9010048000000097,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,9,1,right,,0,0,0,0,0,9,9,9,53.80619370000022,54.306193800000074,right,1,53.80619370000022,None,0.3449148999998215,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,3,0,left,,0,0,0,0,0,10,10,10,57.30624870000065,57.80626250000023,left,1,57.30624870000065,None,0.38087240000004385,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,9,1,right,,0,0,0,0,0,11,11,11,60.806292700000085,61.30630430000019,right,1,60.806292700000085,None,0.3849743999999191,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
TB-16571317872280922.csv,3,1,right,,0,0,0,0,0,12,12,12,64.30634640000062,64.8063716000006,right,1,64.30634640000062,None,0.5007433999999193,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
